date,station,temperature,humidity
2023-11-01,StationX,NaN,64.5
2023-11-02,StationY,22.0,NaN
2023-11-03,StationZ,25.6,67.3
2023-11-04,StationX,23.5,68.7
2023-11-05,StationY,NaN,69.2
2023-11-06,StationZ,24.2,66.8
2023-11-07,StationX,22.8,67.9
2023-11-08,StationY,NaN,65.7
2023-11-09,StationZ,23.9,70.0
2023-11-10,StationX,24.8,NaN
2023-11-11,StationY,21.7,68.3
2023-11-12,StationZ,25.1,69.6
2023-11-13,StationX,24.5,NaN
2023-11-14,StationY,NaN,67.1
2023-11-15,StationZ,23.3,65.4
2023-11-16,StationX,22.9,68.8
2023-11-17,StationY,24.0,70.2
2023-11-18,StationZ,NaN,66.6
2023-11-19,StationX,24.7,69.9
2023-11-20,StationY,25.5,65.9
2023-11-21,StationZ,NaN,70.5
2023-11-22,StationX,22.7,67.4
2023-11-23,StationY,23.1,69.8
2023-11-24,StationZ,25.3,NaN
2023-11-25,StationX,23.6,68.1
2023-11-26,StationY,24.2,67.5
2023-11-27,StationZ,NaN,66.2
2023-11-28,StationX,22.4,68.4
2023-11-29,StationY,24.8,NaN
2023-11-30,StationZ,25.0,67.0
2023-11-01,StationX,NaN,64.5
2023-11-02,StationY,22.0,NaN
2023-11-03,StationZ,25.6,67.3
2023-11-04,StationX,23.5,68.7